handle,title,description,image_url,price,brand,category,stock
chain-bracelet,7 Shakra Bracelet,"7 chakra bracelet, in blue or black.",https://burst.shopifycdn.com/photos/7-chakra-bracelet_925x.jpg,42.99,Company 123,Bracelet,1
leather-anchor,Anchor Bracelet Mens,Black leather bracelet with gold or silver anchor for men.,https://burst.shopifycdn.com/photos/anchor-bracelet-mens_925x.jpg,69.99,Company 123,Bracelet,1
bangle-bracelet,Bangle Bracelet,Gold bangle bracelet with studded jewels.,https://burst.shopifycdn.com/photos/bangle-bracelet-with-jewels_925x.jpg,39.99,Company 123,Bracelet,1
bangle-bracelet-with-feathers,Boho Bangle Bracelet,Gold boho bangle bracelet with multicolor tassels.,https://burst.shopifycdn.com/photos/bangle-bracelet-with-feathers_925x.jpg,42.99,Company 123,Bracelet,1
boho-earrings,Boho Earrings,Turquoise globe earrings on 14k gold hooks.,https://burst.shopifycdn.com/photos/boho-earrings_925x.jpg,27.99,Company 123,Earrings,1
choker-with-bead,Choker with Bead,Black choker necklace with 14k gold bead.,https://burst.shopifycdn.com/photos/black-choker-with-bead_925x.jpg,14.99,Company 123,Necklace,1
choker-with-gold-pendant,Choker with Gold Pendant,"Black cord choker with gold pendant. Beautifully died black leather shapes a choker necklace with findings of 14k yellow gold, displaying gold pendant in a gorgeous balance of dark and light, delicate and strong.<ul>
<li>14k yellow gold</li>
<li>Leather</li>
<li>Length, 12"" with 2.5"" extender</li>
<li>Width, 0.3""</li>
<li>Lobster clasp</li>
<li>Made in USA</li>
</ul>",https://burst.shopifycdn.com/photos/choker-with-gold-pendant_925x.jpg,29.99,Company 123,Necklace,1
choker-with-triangle,Choker with Triangle,Black choker with silver triangle pendant.,https://burst.shopifycdn.com/photos/choker-with-triangle_925x.jpg,47.99,Company 123,Necklace,1
dainty-gold-neclace,Dainty Gold Necklace,Dainty gold necklace with two pendants.,https://burst.shopifycdn.com/photos/dainty-gold-necklace_925x.jpg,63.99,Company 123,Necklace,1
dreamcatcher-pendant-necklace,Dreamcatcher Pendant Necklace,"Turquoise beaded dream catcher necklace. Silver feathers adorn this beautiful dream catcher, which move and twinkle as you walk.",https://burst.shopifycdn.com/photos/dreamcatcher-pendant-necklace_925x.jpg,23.99,Sterling Ltd,Necklace,1
galaxy-earrings,Galaxy Earrings,"One set of galaxy earrings, with sterling silver clasps.",https://burst.shopifycdn.com/photos/galaxy-earrings_925x.jpg,37.99,Sterling Ltd,Earrings,1
gemstone,Gemstone Necklace,"<p>Gemstone pendant, housed in sterling silver, with sterling silver chain.</p>
<ul>
<li>Sterling silver chain, 14 inches</li>
<li>Turquoise or Quartz</li>
<li>Boho Chic</li>
<li>Made in USA</li>
</ul>",https://burst.shopifycdn.com/photos/blue-gemstone-pendant_925x.jpg,27.99,Sterling Ltd,Necklace,1
gold-bird-necklace,Gold Bird Necklace,"14k Gold delicate necklace, with bird between two chains.",https://burst.shopifycdn.com/photos/gold-bird-necklace_925x.jpg,79.99,Company 123,Necklace,1
looped-earrings,Gold Elephant Earrings,"Small 14k gold elephant earrings, with opal ear detail.",https://burst.shopifycdn.com/photos/elephant-earrings_925x.jpg,54.99,Company 123,Earrings,1
guardian-angel-earrings,Guardian Angel Earrings,Sterling silver guardian angel earrings with diamond gemstones.,https://burst.shopifycdn.com/photos/guardian-angel-earrings_925x.jpg,19.99,Sterling Ltd,Earrings,1
moon-charm-bracelet,Moon Charm Bracelet,Moon 14k gold chain friendship bracelet.,https://burst.shopifycdn.com/photos/womens-hand-moon-bracelet-_925x.jpg,47.99,Company 123,Bracelet,1
origami-crane-necklace,Origami Crane Necklace,Sterling silver origami crane necklace.,https://burst.shopifycdn.com/photos/origami-crane-necklace-gold_925x.jpg,75.99,Sterling Ltd,Necklace,1
pretty-gold-necklace,Pretty Gold Necklace,14k gold and turquoise necklace. Stunning beaded turquoise on gold and pendant filled double chain design.,https://burst.shopifycdn.com/photos/pretty-gold-necklace_925x.jpg,44.95,Company 123,Necklace,1
silver-threader-necklace,Silver Threader Necklace,Sterling silver chain thread through circle necklace.,https://burst.shopifycdn.com/photos/silver-threader-necklace_925x.jpg,14.99,Sterling Ltd,Necklace,1
stylish-summer-neclace,Stylish Summer Necklace,Double chained gold boho necklace with turquoise pendant.,https://burst.shopifycdn.com/photos/stylish-summer-necklace_925x.jpg,44.99,Company 123,Necklace,1
